,card,port,sum,
OLT,2,1,21,
OLT,2,2,10,
OLT,2,3,17,
OLT,2,4,20,
OLT,2,5,42,
OLT,2,6,38,
OLT,2,7,6,
OLT,2,8,23,
OLT,3,1,21,
OLT,3,2,33,
OLT,3,3,21,
OLT,3,4,7,
OLT,3,5,17,
OLT,3,6,12,
OLT,3,7,18,
OLT,3,8,21,
OLT,4,1,6,
OLT,4,2,38,
OLT,4,3,3,
OLT,4,4,0,
OLT,4,5,0,
OLT,4,6,0,
OLT,4,7,0,
OLT,4,8,0,
total,,,374,
