OLT,3,1,6,-13.36,
OLT,3,1,7,-13.11,
OLT,3,1,9,-14.46,
OLT,3,1,2,-14.32,
OLT,3,1,3,-14.02,
OLT,3,1,4,-13.65,
OLT,3,1,5,-15.52,
OLT,3,1,6,-13.39,
OLT,3,1,7,-13.11,
OLT,3,1,9,-14.71,
OLT,3,1,2,-14.32,
OLT,3,1,3,-14.02,
OLT,3,1,4,-13.62,
OLT,3,1,5,-15.56,
OLT,3,1,6,-13.39,
OLT,3,1,7,-13.11,
OLT,3,1,9,-14.66,
OLT,3,2,1,-16.39,
OLT,3,2,2,-16.11,
OLT,3,2,6,-15.36,
OLT,3,2,7,-15.13,
OLT,3,2,8,-15.66,
OLT,3,2,9,-14.83,
OLT,3,2,11,-14.13,
OLT,3,2,12,-16.50,
OLT,3,2,13,-15.57,
OLT,3,2,14,-14.36,
OLT,3,2,15,-13.66,
OLT,3,2,1,-16.39,
OLT,3,2,2,-16.11,
OLT,3,2,6,-15.27,
OLT,3,2,7,-15.17,
OLT,3,2,8,-15.66,
OLT,3,2,9,-14.87,
OLT,3,2,11,-14.23,
OLT,3,2,12,-16.50,
OLT,3,2,13,-15.57,
OLT,3,2,14,-14.44,
OLT,3,2,15,-13.63,
OLT,3,2,1,-16.44,
OLT,3,2,2,-16.11,
OLT,3,2,6,-15.27,
OLT,3,2,7,-15.17,
OLT,3,2,8,-15.66,
OLT,3,2,9,-14.87,
OLT,3,2,11,-14.23,
OLT,3,2,12,-16.50,
OLT,3,2,13,-15.57,
OLT,3,2,14,-14.44,
OLT,3,2,15,-13.63,
OLT,3,3,2,-14.50,
OLT,3,3,3,-16.79,
OLT,3,3,4,-14.29,
OLT,3,3,5,-15.01,
OLT,3,3,6,-14.13,
OLT,3,3,8,-17.49,
OLT,3,3,9,-19.55,
OLT,3,3,2,-14.50,
OLT,3,3,3,-16.89,
OLT,3,3,4,-14.29,
OLT,3,3,5,-15.06,
OLT,3,3,6,-14.16,
OLT,3,3,8,-17.56,
OLT,3,3,9,-19.55,
OLT,3,3,2,-14.50,
OLT,3,3,3,-16.84,
OLT,3,3,4,-14.29,
OLT,3,3,5,-15.06,
OLT,3,3,6,-14.16,
OLT,3,3,8,-17.56,
OLT,3,3,9,-19.55,
OLT,3,4,4,-14.76,
OLT,3,4,1,-15.79,
OLT,3,4,2,-15.83,
OLT,3,4,4,-14.80,
OLT,3,4,1,-15.75,
OLT,3,4,2,-15.87,
OLT,3,4,4,-14.84,
OLT,3,5,1,-16.35,
OLT,3,5,2,-17.52,
OLT,3,5,4,-16.13,
OLT,3,5,5,-14.64,
OLT,3,5,7,-14.31,
OLT,3,5,1,-16.31,
OLT,3,5,2,-17.58,
OLT,3,5,3,-14.31,
OLT,3,5,4,-16.13,
OLT,3,5,5,-14.68,
OLT,3,5,7,-14.67,
OLT,3,5,1,-16.26,
OLT,3,5,2,-17.58,
OLT,3,5,3,-14.34,
OLT,3,5,4,-16.08,
OLT,3,5,5,-14.68,
OLT,3,5,7,-14.67,
OLT,3,6,1,-25.20,
OLT,3,6,2,-17.06,
OLT,3,6,4,-17.49,
OLT,3,6,6,-17.00,
OLT,3,6,1,-25.20,
OLT,3,6,2,-17.12,
OLT,3,6,4,-17.49,
OLT,3,6,6,-17.00,
OLT,3,6,1,-25.20,
OLT,3,6,2,-17.18,
OLT,3,6,4,-17.49,
OLT,3,6,6,-17.00,
OLT,3,7,1,-18.12,
OLT,3,7,2,-14.42,
OLT,3,7,3,-16.93,
OLT,3,7,4,-14.14,
OLT,3,7,5,-15.05,
OLT,3,7,6,-14.90,
OLT,3,7,1,-18.12,
OLT,3,7,2,-14.42,
OLT,3,7,3,-16.89,
OLT,3,7,4,-14.14,
OLT,3,7,5,-15.09,
OLT,3,7,6,-14.90,
OLT,3,7,1,-18.12,
OLT,3,7,2,-14.46,
OLT,3,7,3,-16.89,
OLT,3,7,4,-14.14,
OLT,3,7,5,-15.05,
OLT,3,7,6,-14.90,
OLT,3,8,1,-13.32,
OLT,3,8,2,-14.99,
OLT,3,8,4,-13.99,
OLT,3,8,6,-14.82,
OLT,3,8,7,-15.66,
OLT,3,8,8,-14.32,
OLT,3,8,9,-14.12,
OLT,3,8,1,-13.40,
OLT,3,8,2,-14.95,
OLT,3,8,4,-14.02,
OLT,3,8,6,-14.90,
OLT,3,8,7,-15.66,
OLT,3,8,8,-14.25,
OLT,3,8,9,-14.58,
OLT,3,8,1,-13.36,
OLT,3,8,2,-14.95,
OLT,3,8,4,-14.02,
OLT,3,8,6,-14.86,
OLT,3,8,7,-15.66,
OLT,3,8,8,-14.25,
OLT,3,8,9,-14.58,
OLT,4,1,1,-14.90,
OLT,4,1,2,-14.80,
OLT,4,1,1,-14.90,
OLT,4,1,2,-14.80,
OLT,4,1,1,-14.90,
OLT,4,1,2,-14.80,
OLT,4,2,1,-19.95,
OLT,4,2,2,-15.17,
OLT,4,2,3,-13.58,
OLT,4,2,4,-14.95,
OLT,4,2,5,-14.26,
OLT,4,2,6,-14.75,
OLT,4,2,7,-13.74,
OLT,4,2,8,-15.67,
OLT,4,2,9,-14.46,
OLT,4,2,10,-13.98,
OLT,4,2,11,-15.37,
OLT,4,2,13,-15.56,
OLT,4,2,1,-19.95,
OLT,4,2,2,-15.24,
OLT,4,2,3,-13.64,
OLT,4,2,4,-14.95,
OLT,4,2,5,-14.26,
OLT,4,2,6,-14.79,
OLT,4,2,7,-13.81,
OLT,4,2,8,-15.77,
OLT,4,2,9,-14.50,
OLT,4,2,10,-13.98,
OLT,4,2,11,-15.41,
OLT,4,2,12,-14.21,
OLT,4,2,13,-15.56,
OLT,4,2,1,-19.95,
OLT,4,2,2,-15.24,
OLT,4,2,3,-13.64,
OLT,4,2,4,-14.99,
OLT,4,2,5,-14.26,
OLT,4,2,6,-14.79,
OLT,4,2,7,-13.77,
OLT,4,2,8,-15.77,
OLT,4,2,9,-14.46,
OLT,4,2,10,-13.98,
OLT,4,2,11,-15.37,
OLT,4,2,12,-14.21,
OLT,4,2,13,-15.56,
OLT,4,3,4,-21.25,
OLT,4,3,4,-21.25,
OLT,4,3,4,-21.25,
